[2022-08-30 18:13:04.8044] | Info | 游戏处理引擎初始化成功... 
[2022-08-30 18:13:04.8044] | Info | 引擎版本: 1.00 Build 20161001 
[2022-08-30 18:13:04.8044] | Info | 更新日期: 2016/10/01 
[2022-08-30 18:16:18.2514] | Info | 正在读取配置信息... 
[2022-08-30 18:16:18.4326] | Info | 读取配置信息完成... 
[2022-08-30 18:16:18.4358] | Info | 正在加载物品数据库... 
[2022-08-30 18:16:18.6591] | Info | 物品数据库加载成功(1000)... 
[2022-08-30 18:16:18.6591] | Info | 正在加载数据图文件... 
[2022-08-30 18:16:18.6599] | Info | 小地图数据加载成功... 
[2022-08-30 18:16:18.6599] | Info | 正在加载地图数据... 
[2022-08-30 18:16:21.3117] | Info | 地图数据加载成功(322)... 
[2022-08-30 18:16:21.3117] | Info | 正在加载怪物数据库... 
[2022-08-30 18:16:21.3670] | Info | 加载怪物数据库成功(705)... 
[2022-08-30 18:16:21.3670] | Info | 正在加载技能数据库... 
[2022-08-30 18:16:21.3715] | Info | 加载技能数据库成功(206)... 
[2022-08-30 18:16:21.3715] | Info | 正在加载怪物刷新配置信息... 
[2022-08-30 18:16:21.4079] | Info | 加载怪物刷新配置信息成功(2828)... 
[2022-08-30 18:16:21.4079] | Info | 正加载怪物说话配置信息... 
[2022-08-30 18:16:21.4087] | Info | 加载怪物说话配置信息成功(0)... 
[2022-08-30 18:16:21.4100] | Info | 正在加载捆装物品信息... 
[2022-08-30 18:16:21.4105] | Info | 加载捆装物品信息成功... 
[2022-08-30 18:16:21.4105] | Info | 加载物品寄售系统... 
[2022-08-30 18:16:21.4133] | Info | 正在加载任务地图信息... 
[2022-08-30 18:16:21.4173] | Info | 加载任务地图信息成功... 
[2022-08-30 18:16:21.4173] | Info | 正在加载任务说明信息... 
[2022-08-30 18:16:21.4184] | Info | 加载任务说明信息成功... 
[2022-08-30 18:16:21.4184] | Info | 正在加载公告提示信息... 
[2022-08-30 18:16:21.4184] | Info | 加载公告提示信息成功... 
[2022-08-30 18:16:21.4197] | Info | 管理员列表加载成功... 
[2022-08-30 18:16:21.4203] | Info | 行会列表加载成功... 
[2022-08-30 18:16:21.4203] | Info | 城堡列表加载成功... 
[2022-08-30 18:16:21.4274] | Info | 城堡城初始完成... 
[2022-08-30 18:16:21.4300] | Info | 当前服务器运行主节点模式... 
[2022-08-30 18:16:21.4313] | Info | 登录服务器连接初始化完成... 
[2022-08-30 18:16:21.4349] | Info | 地图环境加载成功... 
[2022-08-30 18:16:21.4824] | Info | 矿物数据初始成功... 
[2022-08-30 18:16:21.4888] | Info | 交易NPC列表加载成功... 
[2022-08-30 18:16:21.4922] | Info | 守卫列表加载成功... 
[2022-08-30 18:16:21.4931] | Info | 管理NPC列表加载成功... 
[2022-08-30 18:16:21.4937] | Info | 炼制物品信息加载成功... 
[2022-08-30 18:16:21.4945] | Info | 回城点配置加载成功... 
[2022-08-30 18:16:21.4970] | Info | 正在初始安全区光圈... 
[2022-08-30 18:16:21.4970] | Info | 安全区光圈初始化成功... 
[2022-08-30 18:16:21.4975] | Info | 人物数据引擎启动成功... 
[2022-08-30 18:16:21.5907] | Info | 游戏处理引擎初始化成功... 
[2022-08-30 18:16:21.5907] | Info | 引擎版本: 1.00 Build 20161001 
[2022-08-30 18:16:21.5907] | Info | 更新日期: 2016/10/01 
[2022-08-30 18:18:07.1899] | Info | 正在读取配置信息... 
[2022-08-30 18:18:07.3710] | Info | 读取配置信息完成... 
[2022-08-30 18:18:07.3743] | Info | 正在加载物品数据库... 
[2022-08-30 18:18:07.6060] | Info | 物品数据库加载成功(1000)... 
[2022-08-30 18:18:07.6060] | Info | 正在加载数据图文件... 
