[2022-08-17 11:40:18.9090] | Debug | DBSvr is starting. 
[2022-08-17 11:40:18.9962] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:40:19.2091] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:40:19.2514] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:40:20.3124] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:40:22.1234] | Info | 角色网关[0](10.10.0.102:51337)已打开... 
[2022-08-17 11:42:41.6122] | Debug | DBSvr is starting. 
[2022-08-17 11:42:41.6984] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:42:41.9000] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:42:41.9404] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:42:42.6043] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:42:45.0473] | Info | 角色网关[0](10.10.0.102:51376)已打开... 
[2022-08-17 11:48:01.2857] | Debug | DBSvr is starting. 
[2022-08-17 11:48:01.3941] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:48:01.5984] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:48:01.5997] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:48:01.6400] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:48:01.7305] | Info | 角色网关[0](10.10.0.102:51418)已打开... 
[2022-08-17 11:51:04.2295] | Debug | DBSvr is starting. 
[2022-08-17 11:51:04.3347] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:51:04.5417] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:51:04.5426] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:51:04.5873] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:51:05.2611] | Info | 角色网关[0](10.10.0.102:51450)已打开... 
[2022-08-17 11:51:08.3342] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:51:12.2683] | Info | 角色网关[0](10.10.0.102:51450)已关闭... 
[2022-08-17 11:51:18.8590] | Info | 角色网关[0](10.10.0.102:51474)已打开... 
[2022-08-17 11:51:22.3674] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:51:24.6897] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 11:51:24.7999] | Debug | [QueryChr] Success lqTmplIxq`?cb? 
[2022-08-17 11:58:07.7369] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:58:12.6605] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:58:18.2303] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:58:53.0761] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:58:54.0705] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:58:57.7459] | Info | 角色网关[0](10.10.0.102:51474)已关闭... 
[2022-08-17 12:03:57.2272] | Debug | DBSvr is starting. 
[2022-08-17 12:03:57.3439] | Info | 数据库配置文件读取完成... 
[2022-08-17 12:03:57.6102] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 12:03:57.6649] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 12:03:57.9121] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 12:04:03.3867] | Info | 角色网关[0](10.10.0.102:51549)已打开... 
[2022-08-17 12:04:32.1494] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 12:04:32.2595] | Debug | [QueryChr] Success lqTmplIxq`?cb? 
[2022-08-17 12:04:51.2769] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 12:05:10.6534] | Debug | DBSvr is starting. 
[2022-08-17 12:05:10.7578] | Info | 数据库配置文件读取完成... 
[2022-08-17 12:05:10.9639] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 12:05:10.9650] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 12:05:11.0036] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 12:05:15.9383] | Info | 角色网关[0](10.10.0.102:51596)已打开... 
[2022-08-17 12:05:24.3066] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 12:13:02.9157] | Info | 角色网关[0](10.10.0.102:51596)已关闭... 
[2022-08-17 12:13:10.3504] | Debug | DBSvr is starting. 
[2022-08-17 12:13:10.4383] | Info | 数据库配置文件读取完成... 
[2022-08-17 12:13:10.6339] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 12:13:10.6737] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 12:13:11.7383] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 12:13:13.9272] | Info | 角色网关[0](10.10.0.102:51734)已打开... 
[2022-08-17 12:13:29.9279] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 12:13:30.0301] | Debug | [QueryChr] Success lqTmplIxq`?cb? 
[2022-08-17 12:14:42.8433] | Debug | DBSvr is starting. 
[2022-08-17 12:14:42.9362] | Info | 数据库配置文件读取完成... 
[2022-08-17 12:14:43.1475] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 12:14:43.1959] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 12:14:43.8514] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 12:14:44.3091] | Info | 角色网关[0](10.10.0.102:51780)已打开... 
[2022-08-17 12:14:57.7964] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 12:14:57.9148] | Debug | [QueryChr] Success lqTmplIxq`?cb? 
[2022-08-17 12:14:58.7836] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 12:14:58.8476] | Debug | [QueryChr] Success lqTmplIxqa?cc? 
[2022-08-17 12:14:59.7994] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 12:14:59.8813] | Debug | [QueryChr] Success lqTmplIxqb?c`> 
[2022-08-17 12:15:00.8052] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 12:15:00.8832] | Debug | [QueryChr] Success lqTmplIxqc?ca> 
[2022-08-17 12:15:01.8174] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 12:15:01.8945] | Debug | [QueryChr] Success lqTmplIxq`?bb> 
[2022-08-17 12:15:02.8280] | Debug | 收到账号中心同步会话消息. 
[2022-08-17 12:15:02.9055] | Debug | [QueryChr] Success lqTmplIxqa?bc> 
